Ticker,L_Precision,L_Signals,KNN_RMSE,VWAP_Precision,VWAP_Signals,MOM_Precision,MOM_Signals
HAL.NS,0,0,42.49840492341301,0,0,47.0,200
BSOFT.NS,0,0,6.759048569082393,0,0,48.57142857142857,175
CUB.NS,0,0,4.4875640184191905,0,0,41.53005464480874,183
APLLTD.NS,0,0,4.4875640184191905,0,0,41.53005464480874,183
POWERINDIA.NS,0,0,4.4875640184191905,0,0,41.53005464480874,183
OFSS.NS,0,0,338.1834007305465,0,0,52.820512820512825,195
ABSLAMC.NS,0,0,85.70176664254188,0,0,51.20772946859904,207
TIINDIA.NS,0,0,11.155992703406284,0,0,47.25274725274725,182
PTCIL.NS,0,0,181.89665946361941,0,0,46.470588235294116,170
UCOBANK.NS,0,0,0.2373255223685615,0,0,48.40425531914894,188
